snapped_at,open,market_cap,total_volume,SMA_5,SMA_10,SMA_15,SMA_20,SMA_30
2024-01-01 00:00:00 UTC,2279.941009,274000000000.0,6715146405.0,2319.168636,2300.3267746,2268.745644,2262.8876934,2267.0877325333336
2024-01-02 00:00:00 UTC,2350.026286,282000000000.0,9173151406.0,2313.8196434,2302.6245069,2278.778055,2270.3723219,2273.245346033333
2024-01-03 00:00:00 UTC,2360.78212,283000000000.0,20590257636.0,2316.9239256,2307.6071526,2288.368262066667,2275.36731025,2278.9146153666666
2024-01-04 00:00:00 UTC,2211.170828,266000000000.0,34451776444.0,2299.2528498,2302.2331209999998,2290.6570230666666,2270.0525979500003,2277.854924866667
2024-01-05 00:00:00 UTC,2270.977439,273000000000.0,18341104523.0,2294.5795363999996,2301.9676037,2295.4940920666663,2272.603889,2277.0843338333334
2024-01-06 00:00:00 UTC,2267.087035,272000000000.0,18739484390.0,2292.0087415999997,2305.5886888,2297.5540969333333,2274.5614183999996,2278.253053666667
2024-01-07 00:00:00 UTC,2241.510827,269000000000.0,8619189688.0,2270.3056497999996,2292.0626466,2291.8515545333335,2276.6599536999997,2274.4905168666664
2024-01-08 00:00:00 UTC,2220.151562,266000000000.0,10135753413.0,2242.1795381999996,2279.5517319,2285.7979477999997,2276.8210811,2269.8326004
2024-01-09 00:00:00 UTC,2331.660329,280000000000.0,26223624729.0,2266.2774384,2282.7651441,2290.2478934666665,2284.5621269000003,2269.518862
2024-01-10 00:00:00 UTC,2341.160624,281000000000.0,21533561123.0,2280.3140754,2287.4468059,2294.7497609333336,2291.6990879,2269.154258533333
2024-01-11 00:00:00 UTC,2588.769164,311000000000.0,44008144957.0,2344.6505012000002,2318.3296214,2318.609292933333,2309.328198,2281.368336066667
2024-01-12 00:00:00 UTC,2618.329862,315000000000.0,40605826835.0,2420.0143082,2345.159979,2334.7132004666664,2323.8922429500003,2295.3015409333334
2024-01-13 00:00:00 UTC,2524.501694,302000000000.0,46082131082.0,2480.8843346,2361.5319363999997,2346.662599466667,2334.5695445,2304.0888523000003
2024-01-14 00:00:00 UTC,2575.924735,309000000000.0,23318906537.0,2529.7372158000003,2398.0073271,2365.089168,2350.1202240499997,2312.7041743333334
2024-01-15 00:00:00 UTC,2477.937478,299000000000.0,16820089428.0,2557.0925866000002,2418.7033309999997,2377.3287328,2360.3354673500003,2321.3037029999996
2024-01-16 00:00:00 UTC,2515.31998,303000000000.0,13348139613.0,2542.4027498000005,2443.5266254999997,2393.0206642,2374.55765715,2330.8831540999995
2024-01-17 00:00:00 UTC,2589.482632,311000000000.0,18488915210.0,2536.6333038000002,2478.323806,2408.9844206,2385.1932263,2343.8812378
2024-01-18 00:00:00 UTC,2528.328785,304000000000.0,17068418336.0,2537.3987220000004,2509.1415282999997,2420.1541982666668,2394.3466301,2354.261230166667
2024-01-19 00:00:00 UTC,2467.328979,297000000000.0,15098459636.0,2515.6795708,2522.7083933000004,2437.231408333333,2402.7367686999996,2363.9442157
2024-01-20 00:00:00 UTC,2489.618065,299000000000.0,13514569417.0,2518.0156882,2537.5541374,2451.807450066667,2412.50047165,2373.650771066667
2024-01-21 00:00:00 UTC,2470.263615,297000000000.0,4996301225.0,2509.0044152,2525.7035825000003,2465.3525554,2422.01660195,2381.4533261666666
2024-01-22 00:00:00 UTC,2454.909543,295000000000.0,4334792607.0,2482.0897974,2509.3615506,2479.5791364666666,2427.2607648,2385.7153455000002
2024-01-23 00:00:00 UTC,2307.587003,278000000000.0,15106296459.0,2437.941441,2487.6700815,2485.408165866667,2424.60100895,2385.603056833333
2024-01-24 00:00:00 UTC,2241.942776,269000000000.0,17683786156.0,2392.8642004000003,2454.2718856,2479.426995666667,2426.13960635,2384.8374445666664
2024-01-25 00:00:00 UTC,2236.739313,269000000000.0,10625253855.0,2342.28845,2430.1520691,2472.4655749333333,2424.4277000499997,2383.6076679333332
2024-01-26 00:00:00 UTC,2219.614527,267000000000.0,9966399828.0,2292.1586324000004,2400.5815238000005,2447.8552658,2422.05407465,2383.232279366667
2024-01-27 00:00:00 UTC,2268.870732,272000000000.0,10737037817.0,2254.9508702,2368.5203338,2424.557990466667,2423.4220699,2379.6355954666665
2024-01-28 00:00:00 UTC,2267.907852,273000000000.0,4896940248.0,2247.0150399999998,2342.4782404999996,2407.451734333333,2425.8098844,2377.0571668999996
2024-01-29 00:00:00 UTC,2257.054465,271000000000.0,6994793950.0,2250.0373778000003,2321.4507891000003,2386.193716333333,2422.0795912,2375.6414421666664
2024-01-30 00:00:00 UTC,2314.594728,278000000000.0,8669925103.0,2265.6084608,2303.9484554,2375.3041996666666,2420.7512964000002,2376.3164662333334
2024-01-31 00:00:00 UTC,2344.0014,281000000000.0,11126446198.0,2290.4858354000003,2291.3222339,2363.882961,2408.5129082000003,2378.4518126
